id_association,code_barre_ean_principal,code_barre_ean_associe_mdd,nom_produit_principal,nom_produit_mdd_associe,indice_confiance_association_pct,hausse_ticket_moyen_projete_pct,offre_bundle_recommandee
XSELL-0030,357984432273,329857212503,Pâte à Tartiner Nestlé #787,Plat Cuisiné Lasagnes Gourmet #3272,91.3,6.3,Offre Duo : -30% sur Plat Cuisiné Lasagnes Gourmet #3272 (MDD) à l'achat de Pâte à Tartiner Nestlé #787
XSELL-0031,377119682548,380042562104,Plat Cuisiné Lasagnes Danone #645,Sauce Tomate Basilic Repère #641,87.3,10.4,Offre Duo : -30% sur Sauce Tomate Basilic Repère #641 (MDD) à l'achat de Plat Cuisiné Lasagnes Danone #645
XSELL-0032,375774073813,367481357288,Pain de Mie Bio Nestlé #2746,Sauce Tomate Basilic Repère #1526,69.7,7.7,Offre Duo : -30% sur Sauce Tomate Basilic Repère #1526 (MDD) à l'achat de Pain de Mie Bio Nestlé #2746
XSELL-0033,318839785489,366495235323,Yaourt Fraise Danone #987,Yaourt Fraise Repère #4391,85.0,9.1,Offre Duo : -30% sur Yaourt Fraise Repère #4391 (MDD) à l'achat de Yaourt Fraise Danone #987
XSELL-0034,376193051049,365633020843,Yaourt Fraise Nestlé #3914,Yaourt Fraise Repère #23,81.0,12.1,Offre Duo : -30% sur Yaourt Fraise Repère #23 (MDD) à l'achat de Yaourt Fraise Nestlé #3914
XSELL-0035,310743241513,346770865546,Fromage Fondu Repère #2981,Plat Cuisiné Lasagnes Gourmet #515,71.3,6.3,Offre Duo : -30% sur Plat Cuisiné Lasagnes Gourmet #515 (MDD) à l'achat de Fromage Fondu Repère #2981
XSELL-0036,388382640447,317426152343,Yaourt Fraise Danone #2482,Plat Cuisiné Lasagnes Repère #3974,77.8,13.2,Offre Duo : -30% sur Plat Cuisiné Lasagnes Repère #3974 (MDD) à l'achat de Yaourt Fraise Danone #2482
XSELL-0037,369963812029,325195749660,Yaourt Fraise Repère #2474,Yaourt Fraise Repère #2137,79.7,6.9,Offre Duo : -30% sur Yaourt Fraise Repère #2137 (MDD) à l'achat de Yaourt Fraise Repère #2474
XSELL-0038,332783462687,348497831240,Sauce Tomate Basilic Nestlé #3956,Pain de Mie Bio Bio #2671,68.8,9.4,Offre Duo : -30% sur Pain de Mie Bio Bio #2671 (MDD) à l'achat de Sauce Tomate Basilic Nestlé #3956
XSELL-0039,363291961680,329590065710,Céréales Gourmandes Repère #142,Fromage Fondu Bio #4041,80.5,6.9,Offre Duo : -30% sur Fromage Fondu Bio #4041 (MDD) à l'achat de Céréales Gourmandes Repère #142
XSELL-0040,338608554797,331117945986,Plat Cuisiné Lasagnes Repère #4297,Jus d'Orange Pur Jus Repère #1960,90.8,7.6,Offre Duo : -30% sur Jus d'Orange Pur Jus Repère #1960 (MDD) à l'achat de Plat Cuisiné Lasagnes Repère #4297
XSELL-0041,364134521845,348430743601,Céréales Gourmandes Nestlé #809,Biscuits Chocolat Bio #2055,65.6,6.4,Offre Duo : -30% sur Biscuits Chocolat Bio #2055 (MDD) à l'achat de Céréales Gourmandes Nestlé #809
XSELL-0042,387252943430,364136736303,Céréales Gourmandes Nestlé #2444,Jus d'Orange Pur Jus Gourmet #1374,76.4,5.2,Offre Duo : -30% sur Jus d'Orange Pur Jus Gourmet #1374 (MDD) à l'achat de Céréales Gourmandes Nestlé #2444
XSELL-0043,389994074681,355743675229,Biscuits Chocolat Danone #3937,Jus d'Orange Pur Jus Gourmet #670,86.8,9.6,Offre Duo : -30% sur Jus d'Orange Pur Jus Gourmet #670 (MDD) à l'achat de Biscuits Chocolat Danone #3937
XSELL-0044,384510771831,348671316082,Jus d'Orange Pur Jus Nestlé #4046,Fromage Fondu Gourmet #3654,83.0,6.7,Offre Duo : -30% sur Fromage Fondu Gourmet #3654 (MDD) à l'achat de Jus d'Orange Pur Jus Nestlé #4046
XSELL-0045,389311439793,318857071999,Sauce Tomate Basilic Repère #1718,Pâte à Tartiner Repère #1448,75.9,9.4,Offre Duo : -30% sur Pâte à Tartiner Repère #1448 (MDD) à l'achat de Sauce Tomate Basilic Repère #1718
XSELL-0046,340247417753,329588496814,Céréales Gourmandes Nestlé #169,Jus d'Orange Pur Jus Repère #2421,84.4,8.0,Offre Duo : -30% sur Jus d'Orange Pur Jus Repère #2421 (MDD) à l'achat de Céréales Gourmandes Nestlé #169
XSELL-0047,339043269653,377783275302,Jambon Supérieur Danone #2480,Yaourt Fraise Gourmet #801,92.8,9.3,Offre Duo : -30% sur Yaourt Fraise Gourmet #801 (MDD) à l'achat de Jambon Supérieur Danone #2480
XSELL-0048,377971326977,380975139751,Yaourt Fraise Repère #4271,Jus d'Orange Pur Jus Repère #3496,93.3,9.5,Offre Duo : -30% sur Jus d'Orange Pur Jus Repère #3496 (MDD) à l'achat de Yaourt Fraise Repère #4271
XSELL-0049,399872444938,340976970335,Céréales Gourmandes Nestlé #4299,Biscuits Chocolat Repère #4482,91.6,6.7,Offre Duo : -30% sur Biscuits Chocolat Repère #4482 (MDD) à l'achat de Céréales Gourmandes Nestlé #4299
XSELL-0050,352349214425,360013161348,Plat Cuisiné Lasagnes Nestlé #3672,Jambon Supérieur Repère #3345,67.8,11.8,Offre Duo : -30% sur Jambon Supérieur Repère #3345 (MDD) à l'achat de Plat Cuisiné Lasagnes Nestlé #3672
XSELL-0051,351240302450,362686338656,Fromage Fondu Repère #2953,Plat Cuisiné Lasagnes Repère #4078,70.6,12.2,Offre Duo : -30% sur Plat Cuisiné Lasagnes Repère #4078 (MDD) à l'achat de Fromage Fondu Repère #2953
XSELL-0052,385442810085,330319009190,Biscuits Chocolat Nestlé #168,Yaourt Fraise Bio #554,67.8,6.8,Offre Duo : -30% sur Yaourt Fraise Bio #554 (MDD) à l'achat de Biscuits Chocolat Nestlé #168
XSELL-0053,310710432063,348682052389,Biscuits Chocolat Repère #3447,Céréales Gourmandes Repère #2900,66.8,9.1,Offre Duo : -30% sur Céréales Gourmandes Repère #2900 (MDD) à l'achat de Biscuits Chocolat Repère #3447
XSELL-0054,328045738118,376438308088,Fromage Fondu Danone #2349,Céréales Gourmandes Bio #1675,67.4,13.8,Offre Duo : -30% sur Céréales Gourmandes Bio #1675 (MDD) à l'achat de Fromage Fondu Danone #2349
XSELL-0055,398062340132,322820650127,Céréales Gourmandes Repère #4181,Fromage Fondu Bio #341,92.0,11.5,Offre Duo : -30% sur Fromage Fondu Bio #341 (MDD) à l'achat de Céréales Gourmandes Repère #4181
XSELL-0056,349659510857,384519226487,Plat Cuisiné Lasagnes Repère #2131,Fromage Fondu Gourmet #3846,73.8,5.4,Offre Duo : -30% sur Fromage Fondu Gourmet #3846 (MDD) à l'achat de Plat Cuisiné Lasagnes Repère #2131
XSELL-0057,328603148811,320928325117,Céréales Gourmandes Repère #2696,Jambon Supérieur Repère #3583,65.4,14.0,Offre Duo : -30% sur Jambon Supérieur Repère #3583 (MDD) à l'achat de Céréales Gourmandes Repère #2696
XSELL-0058,387141723939,378944337316,Jus d'Orange Pur Jus Danone #4285,Céréales Gourmandes Gourmet #2432,68.9,13.5,Offre Duo : -30% sur Céréales Gourmandes Gourmet #2432 (MDD) à l'achat de Jus d'Orange Pur Jus Danone #4285
XSELL-0059,341298585369,327769381953,Yaourt Fraise Danone #234,Céréales Gourmandes Gourmet #1887,82.8,7.5,Offre Duo : -30% sur Céréales Gourmandes Gourmet #1887 (MDD) à l'achat de Yaourt Fraise Danone #234
XSELL-0060,360204239631,320931131441,Jambon Supérieur Nestlé #4359,Jambon Supérieur Bio #3388,87.5,12.3,Offre Duo : -30% sur Jambon Supérieur Bio #3388 (MDD) à l'achat de Jambon Supérieur Nestlé #4359
XSELL-0061,313024599586,341508786742,Jus d'Orange Pur Jus Repère #3916,Fromage Fondu Bio #4481,90.4,6.8,Offre Duo : -30% sur Fromage Fondu Bio #4481 (MDD) à l'achat de Jus d'Orange Pur Jus Repère #3916
XSELL-0062,339373785013,356943465990,Yaourt Fraise Nestlé #861,Sauce Tomate Basilic Bio #1478,79.8,7.4,Offre Duo : -30% sur Sauce Tomate Basilic Bio #1478 (MDD) à l'achat de Yaourt Fraise Nestlé #861
XSELL-0063,317150344050,339413218266,Sauce Tomate Basilic Nestlé #1650,Jambon Supérieur Bio #2221,72.1,12.6,Offre Duo : -30% sur Jambon Supérieur Bio #2221 (MDD) à l'achat de Sauce Tomate Basilic Nestlé #1650
XSELL-0064,344040251282,348519259045,Pain de Mie Bio Danone #912,Jus d'Orange Pur Jus Bio #4301,92.4,6.1,Offre Duo : -30% sur Jus d'Orange Pur Jus Bio #4301 (MDD) à l'achat de Pain de Mie Bio Danone #912
XSELL-0065,357842234743,379327078277,Fromage Fondu Repère #2213,Yaourt Fraise Bio #2942,70.6,8.7,Offre Duo : -30% sur Yaourt Fraise Bio #2942 (MDD) à l'achat de Fromage Fondu Repère #2213
XSELL-0066,372387123068,310667733912,Sauce Tomate Basilic Nestlé #1252,Pain de Mie Bio Gourmet #3522,91.7,13.5,Offre Duo : -30% sur Pain de Mie Bio Gourmet #3522 (MDD) à l'achat de Sauce Tomate Basilic Nestlé #1252
XSELL-0067,349570304068,361484209433,Sauce Tomate Basilic Danone #1759,Pain de Mie Bio Gourmet #2073,77.8,12.7,Offre Duo : -30% sur Pain de Mie Bio Gourmet #2073 (MDD) à l'achat de Sauce Tomate Basilic Danone #1759
XSELL-0068,312253503049,351446332340,Pâte à Tartiner Danone #914,Jambon Supérieur Repère #1665,89.1,10.3,Offre Duo : -30% sur Jambon Supérieur Repère #1665 (MDD) à l'achat de Pâte à Tartiner Danone #914
XSELL-0069,326274188055,378339123728,Jambon Supérieur Nestlé #1826,Pain de Mie Bio Repère #3337,79.1,5.3,Offre Duo : -30% sur Pain de Mie Bio Repère #3337 (MDD) à l'achat de Jambon Supérieur Nestlé #1826
XSELL-0070,362011346358,377849954309,Jambon Supérieur Nestlé #774,Biscuits Chocolat Gourmet #497,76.2,13.3,Offre Duo : -30% sur Biscuits Chocolat Gourmet #497 (MDD) à l'achat de Jambon Supérieur Nestlé #774
XSELL-0071,385783090525,324839753249,Jambon Supérieur Danone #3456,Pâte à Tartiner Bio #776,87.0,7.0,Offre Duo : -30% sur Pâte à Tartiner Bio #776 (MDD) à l'achat de Jambon Supérieur Danone #3456
XSELL-0072,385172085310,394695976280,Yaourt Fraise Danone #3676,Céréales Gourmandes Repère #853,81.2,10.5,Offre Duo : -30% sur Céréales Gourmandes Repère #853 (MDD) à l'achat de Yaourt Fraise Danone #3676
XSELL-0073,383057798774,378339123728,Jambon Supérieur Nestlé #3536,Pain de Mie Bio Repère #3337,72.0,12.7,Offre Duo : -30% sur Pain de Mie Bio Repère #3337 (MDD) à l'achat de Jambon Supérieur Nestlé #3536
XSELL-0074,329995294523,364355387520,Sauce Tomate Basilic Nestlé #3637,Biscuits Chocolat Repère #586,87.7,8.6,Offre Duo : -30% sur Biscuits Chocolat Repère #586 (MDD) à l'achat de Sauce Tomate Basilic Nestlé #3637
XSELL-0075,352995562851,388492914443,Fromage Fondu Nestlé #2370,Fromage Fondu Bio #1004,91.8,6.2,Offre Duo : -30% sur Fromage Fondu Bio #1004 (MDD) à l'achat de Fromage Fondu Nestlé #2370
XSELL-0076,373758963355,329588496814,Jus d'Orange Pur Jus Nestlé #2473,Jus d'Orange Pur Jus Repère #2421,77.6,6.8,Offre Duo : -30% sur Jus d'Orange Pur Jus Repère #2421 (MDD) à l'achat de Jus d'Orange Pur Jus Nestlé #2473
XSELL-0077,343923982626,332244312526,Pâte à Tartiner Nestlé #2537,Céréales Gourmandes Repère #2829,82.3,11.7,Offre Duo : -30% sur Céréales Gourmandes Repère #2829 (MDD) à l'achat de Pâte à Tartiner Nestlé #2537
XSELL-0078,354945284045,389184393842,Céréales Gourmandes Danone #3449,Jus d'Orange Pur Jus Gourmet #2052,85.9,9.9,Offre Duo : -30% sur Jus d'Orange Pur Jus Gourmet #2052 (MDD) à l'achat de Céréales Gourmandes Danone #3449
XSELL-0079,398367061234,375024890219,Jus d'Orange Pur Jus Repère #4042,Pâte à Tartiner Repère #3126,74.8,9.6,Offre Duo : -30% sur Pâte à Tartiner Repère #3126 (MDD) à l'achat de Jus d'Orange Pur Jus Repère #4042
XSELL-0080,340971844209,355890535492,Pain de Mie Bio Nestlé #227,Pain de Mie Bio Gourmet #660,65.0,8.9,Offre Duo : -30% sur Pain de Mie Bio Gourmet #660 (MDD) à l'achat de Pain de Mie Bio Nestlé #227
XSELL-0081,388169166270,391866791108,Jus d'Orange Pur Jus Nestlé #2857,Pâte à Tartiner Repère #106,85.3,5.9,Offre Duo : -30% sur Pâte à Tartiner Repère #106 (MDD) à l'achat de Jus d'Orange Pur Jus Nestlé #2857
XSELL-0082,334271703814,361907899725,Céréales Gourmandes Danone #711,Jambon Supérieur Repère #1183,68.8,8.3,Offre Duo : -30% sur Jambon Supérieur Repère #1183 (MDD) à l'achat de Céréales Gourmandes Danone #711
XSELL-0083,387141723939,386537942226,Jus d'Orange Pur Jus Danone #4285,Yaourt Fraise Bio #540,78.6,7.6,Offre Duo : -30% sur Yaourt Fraise Bio #540 (MDD) à l'achat de Jus d'Orange Pur Jus Danone #4285
XSELL-0084,359464448194,370253208067,Jus d'Orange Pur Jus Danone #1741,Jus d'Orange Pur Jus Bio #322,91.4,5.2,Offre Duo : -30% sur Jus d'Orange Pur Jus Bio #322 (MDD) à l'achat de Jus d'Orange Pur Jus Danone #1741
XSELL-0085,389890881618,393287119235,Pain de Mie Bio Repère #1720,Plat Cuisiné Lasagnes Bio #2062,76.7,9.6,Offre Duo : -30% sur Plat Cuisiné Lasagnes Bio #2062 (MDD) à l'achat de Pain de Mie Bio Repère #1720
XSELL-0086,317072276683,377488296694,Pain de Mie Bio Nestlé #2273,Yaourt Fraise Bio #4258,73.9,4.7,Offre Duo : -30% sur Yaourt Fraise Bio #4258 (MDD) à l'achat de Pain de Mie Bio Nestlé #2273
XSELL-0087,332294852286,312544907524,Pâte à Tartiner Danone #3724,Céréales Gourmandes Repère #1911,73.2,5.8,Offre Duo : -30% sur Céréales Gourmandes Repère #1911 (MDD) à l'achat de Pâte à Tartiner Danone #3724
XSELL-0088,331957700469,351974127702,Yaourt Fraise Repère #1009,Jambon Supérieur Gourmet #2625,83.2,10.3,Offre Duo : -30% sur Jambon Supérieur Gourmet #2625 (MDD) à l'achat de Yaourt Fraise Repère #1009
XSELL-0089,377681616728,322246636167,Biscuits Chocolat Danone #1475,Pain de Mie Bio Bio #1649,82.6,13.0,Offre Duo : -30% sur Pain de Mie Bio Bio #1649 (MDD) à l'achat de Biscuits Chocolat Danone #1475
XSELL-0090,314380736579,365026569774,Pâte à Tartiner Danone #1394,Pâte à Tartiner Bio #1680,85.9,7.0,Offre Duo : -30% sur Pâte à Tartiner Bio #1680 (MDD) à l'achat de Pâte à Tartiner Danone #1394
XSELL-0091,356664966939,341828229215,Biscuits Chocolat Repère #2164,Jambon Supérieur Gourmet #922,88.3,6.5,Offre Duo : -30% sur Jambon Supérieur Gourmet #922 (MDD) à l'achat de Biscuits Chocolat Repère #2164
XSELL-0092,319222715880,337806365944,Sauce Tomate Basilic Nestlé #1713,Yaourt Fraise Repère #2728,90.4,9.9,Offre Duo : -30% sur Yaourt Fraise Repère #2728 (MDD) à l'achat de Sauce Tomate Basilic Nestlé #1713
XSELL-0093,329635781551,320210280651,Céréales Gourmandes Danone #183,Pain de Mie Bio Gourmet #4029,82.0,8.3,Offre Duo : -30% sur Pain de Mie Bio Gourmet #4029 (MDD) à l'achat de Céréales Gourmandes Danone #183
XSELL-0094,314217491744,314567128005,Biscuits Chocolat Repère #2909,Céréales Gourmandes Bio #4101,75.0,5.6,Offre Duo : -30% sur Céréales Gourmandes Bio #4101 (MDD) à l'achat de Biscuits Chocolat Repère #2909
XSELL-0095,380975139751,312946945540,Jus d'Orange Pur Jus Repère #3496,Plat Cuisiné Lasagnes Bio #3303,71.3,11.6,Offre Duo : -30% sur Plat Cuisiné Lasagnes Bio #3303 (MDD) à l'achat de Jus d'Orange Pur Jus Repère #3496
XSELL-0096,330810593343,386027787278,Sauce Tomate Basilic Repère #148,Sauce Tomate Basilic Bio #3492,82.2,7.7,Offre Duo : -30% sur Sauce Tomate Basilic Bio #3492 (MDD) à l'achat de Sauce Tomate Basilic Repère #148
XSELL-0097,352574050592,310293807995,Jus d'Orange Pur Jus Danone #4104,Plat Cuisiné Lasagnes Gourmet #3062,86.4,9.6,Offre Duo : -30% sur Plat Cuisiné Lasagnes Gourmet #3062 (MDD) à l'achat de Jus d'Orange Pur Jus Danone #4104
XSELL-0098,349542218973,345375180603,Jambon Supérieur Repère #2103,Plat Cuisiné Lasagnes Bio #1349,72.1,11.6,Offre Duo : -30% sur Plat Cuisiné Lasagnes Bio #1349 (MDD) à l'achat de Jambon Supérieur Repère #2103
XSELL-0099,342141630878,398450672017,Fromage Fondu Nestlé #2195,Céréales Gourmandes Gourmet #3777,88.3,7.3,Offre Duo : -30% sur Céréales Gourmandes Gourmet #3777 (MDD) à l'achat de Fromage Fondu Nestlé #2195
XSELL-0100,378051535222,310821177220,Céréales Gourmandes Nestlé #3577,Pain de Mie Bio Gourmet #85,68.0,8.3,Offre Duo : -30% sur Pain de Mie Bio Gourmet #85 (MDD) à l'achat de Céréales Gourmandes Nestlé #3577
XSELL-0101,355544978193,345581724022,Jus d'Orange Pur Jus Nestlé #3722,Céréales Gourmandes Repère #1589,82.6,11.6,Offre Duo : -30% sur Céréales Gourmandes Repère #1589 (MDD) à l'achat de Jus d'Orange Pur Jus Nestlé #3722
XSELL-0102,336446820783,378274139682,Yaourt Fraise Repère #1429,Sauce Tomate Basilic Repère #3356,87.0,8.1,Offre Duo : -30% sur Sauce Tomate Basilic Repère #3356 (MDD) à l'achat de Yaourt Fraise Repère #1429
XSELL-0103,352349214425,387345075406,Plat Cuisiné Lasagnes Nestlé #3672,Sauce Tomate Basilic Repère #352,76.6,13.1,Offre Duo : -30% sur Sauce Tomate Basilic Repère #352 (MDD) à l'achat de Plat Cuisiné Lasagnes Nestlé #3672
XSELL-0104,319828519153,352693215994,Jambon Supérieur Danone #3579,Pâte à Tartiner Gourmet #1202,72.0,7.9,Offre Duo : -30% sur Pâte à Tartiner Gourmet #1202 (MDD) à l'achat de Jambon Supérieur Danone #3579
XSELL-0105,377201108103,382273532742,Pâte à Tartiner Repère #4424,Jus d'Orange Pur Jus Bio #3229,72.0,9.2,Offre Duo : -30% sur Jus d'Orange Pur Jus Bio #3229 (MDD) à l'achat de Pâte à Tartiner Repère #4424
XSELL-0106,312129665254,380511216797,Biscuits Chocolat Nestlé #637,Yaourt Fraise Repère #1736,84.0,13.7,Offre Duo : -30% sur Yaourt Fraise Repère #1736 (MDD) à l'achat de Biscuits Chocolat Nestlé #637
XSELL-0107,322200345380,354300362475,Plat Cuisiné Lasagnes Nestlé #737,Fromage Fondu Repère #2418,81.8,13.6,Offre Duo : -30% sur Fromage Fondu Repère #2418 (MDD) à l'achat de Plat Cuisiné Lasagnes Nestlé #737
XSELL-0108,356988464047,363248141254,Biscuits Chocolat Repère #1054,Biscuits Chocolat Repère #441,85.1,7.4,Offre Duo : -30% sur Biscuits Chocolat Repère #441 (MDD) à l'achat de Biscuits Chocolat Repère #1054
XSELL-0109,373975899680,332849968709,Biscuits Chocolat Nestlé #1743,Pâte à Tartiner Repère #2184,69.8,13.7,Offre Duo : -30% sur Pâte à Tartiner Repère #2184 (MDD) à l'achat de Biscuits Chocolat Nestlé #1743
XSELL-0110,366736063636,356937362976,Jambon Supérieur Danone #3511,Yaourt Fraise Repère #408,81.6,10.7,Offre Duo : -30% sur Yaourt Fraise Repère #408 (MDD) à l'achat de Jambon Supérieur Danone #3511
XSELL-0111,369036262064,346819583245,Pâte à Tartiner Danone #1630,Pâte à Tartiner Repère #693,68.1,10.5,Offre Duo : -30% sur Pâte à Tartiner Repère #693 (MDD) à l'achat de Pâte à Tartiner Danone #1630
XSELL-0112,375174121652,375316574393,Biscuits Chocolat Danone #746,Plat Cuisiné Lasagnes Repère #2151,65.9,7.9,Offre Duo : -30% sur Plat Cuisiné Lasagnes Repère #2151 (MDD) à l'achat de Biscuits Chocolat Danone #746
XSELL-0113,319006945733,358146654190,Plat Cuisiné Lasagnes Danone #2713,Biscuits Chocolat Gourmet #3650,82.1,11.4,Offre Duo : -30% sur Biscuits Chocolat Gourmet #3650 (MDD) à l'achat de Plat Cuisiné Lasagnes Danone #2713
